symbol,days,start,end
TXG,1082,2019-09-13,2023-12-29
MMM,15605,1962-01-03,2023-12-29
ABT,11040,1980-03-18,2023-12-29
ABBV,2767,2013-01-03,2023-12-29
ACHC,7508,1994-03-07,2023-12-29
ACN,5647,2001-07-20,2023-12-29
AYI,5556,2001-12-04,2023-12-29
ADM,11040,1980-03-18,2023-12-29
ADBE,9420,1986-08-14,2023-12-29
ADP,11040,1980-03-18,2023-12-29
ADT,1496,2018-01-22,2023-12-29
AAP,5558,2001-11-30,2023-12-29
WMS,2374,2014-07-28,2023-12-29
ACM,4189,2007-05-11,2023-12-29
AES,8189,1991-06-27,2023-12-29
AFRM,745,2021-01-14,2023-12-29
AFL,11040,1980-03-18,2023-12-29
AGCO,7984,1992-04-20,2023-12-29
A,6066,1999-11-19,2023-12-29
AGL,682,2021-04-16,2023-12-29
ADC,7479,1994-04-18,2023-12-29
AGNC,3933,2008-05-16,2023-12-29
AIG,12860,1973-01-03,2023-12-29
AL,3195,2011-04-20,2023-12-29
APD,11040,1980-03-18,2023-12-29
ABNB,767,2020-12-11,2023-12-29
AKAM,6080,1999-11-01,2023-12-29
ALK,11040,1980-03-18,2023-12-29
ALB,7516,1994-02-23,2023-12-29
ACI,883,2020-06-29,2023-12-29
AA,15605,1962-01-03,2023-12-29
ARE,6692,1997-05-29,2023-12-29
ALGN,5765,2001-01-31,2023-12-29
ALLE,2545,2013-11-19,2023-12-29
ALGM,796,2020-10-30,2023-12-29
LNT,12826,1973-02-22,2023-12-29
ALSN,2967,2012-03-16,2023-12-29
ALL,7699,1993-06-04,2023-12-29
ALLY,2498,2014-01-29,2023-12-29
ALNY,4929,2004-06-02,2023-12-29
GOOGL,4874,2004-08-20,2023-12-29
GOOG,4874,2004-08-20,2023-12-29
AYX,1703,2017-03-27,2023-12-29
MO,15605,1962-01-03,2023-12-29
AMZN,6700,1997-05-16,2023-12-29
AMC,2524,2013-12-19,2023-12-29
AMCR,2925,2012-05-16,2023-12-29
AMD,11040,1980-03-18,2023-12-29
DOX,6424,1998-06-22,2023-12-29
AMED,7394,1994-08-18,2023-12-29
AEE,6540,1998-01-05,2023-12-29
AAL,4595,2005-09-28,2023-12-29
AEP,15605,1962-01-03,2023-12-29
AXP,13006,1972-06-02,2023-12-29
AFG,11040,1980-03-18,2023-12-29
AMH,2621,2013-08-02,2023-12-29
AMT,6502,1998-03-02,2023-12-29
AWK,3949,2008-04-24,2023-12-29
COLD,1496,2018-01-22,2023-12-29
AMP,4603,2005-09-16,2023-12-29
AME,9942,1984-07-20,2023-12-29
AMG,6567,1997-11-24,2023-12-29
AMGN,10217,1983-06-20,2023-12-29
APH,8094,1991-11-11,2023-12-29
ADI,11040,1980-03-18,2023-12-29
NLY,6599,1997-10-09,2023-12-29
ANSS,6928,1996-06-21,2023-12-29
AM,1675,2017-05-05,2023-12-29
AR,2572,2013-10-11,2023-12-29
AON,10987,1980-06-03,2023-12-29
APA,11252,1979-05-16,2023-12-29
AIRC,764,2020-12-16,2023-12-29
APLS,1543,2017-11-10,2023-12-29
APO,3209,2011-03-31,2023-12-29
AAPL,10852,1980-12-15,2023-12-29
AMAT,11040,1980-03-18,2023-12-29
APP,682,2021-04-16,2023-12-29
ATR,7727,1993-04-26,2023-12-29
APTV,3047,2011-11-18,2023-12-29
ARMK,2528,2013-12-13,2023-12-29
ACGL,7122,1995-09-15,2023-12-29
AMBP,604,2021-08-06,2023-12-29
ARES,2432,2014-05-05,2023-12-29
ANET,2408,2014-06-09,2023-12-29
AWI,4328,2006-10-19,2023-12-29
ARW,11040,1980-03-18,2023-12-29
AJG,9962,1984-06-21,2023-12-29
ASH,11040,1980-03-18,2023-12-29
AZPN,7345,1994-10-27,2023-12-29
AIZ,5009,2004-02-06,2023-12-29
AGO,4955,2004-04-26,2023-12-29
T,10108,1983-11-22,2023-12-29
TEAM,2027,2015-12-10,2023-12-29
ATO,10083,1983-12-29,2023-12-29
ADSK,9703,1985-07-01,2023-12-29
AN,8473,1990-05-14,2023-12-29
AZO,8249,1991-04-03,2023-12-29
AVB,7503,1994-03-14,2023-12-29
AGR,2021,2015-12-18,2023-12-29
AVTR,1163,2019-05-20,2023-12-29
AVY,12826,1973-02-22,2023-12-29
CAR,10156,1983-09-15,2023-12-29
AVT,12776,1973-05-04,2023-12-29
AXTA,2297,2014-11-13,2023-12-29
AXS,5160,2003-07-02,2023-12-29
AXON,5668,2001-06-20,2023-12-29
AZEK,893,2020-06-15,2023-12-29
AZTA,7277,1995-02-03,2023-12-29
BKR,9257,1987-04-07,2023-12-29
BALL,12826,1973-02-22,2023-12-29
BAC,12826,1973-02-22,2023-12-29
OZK,6657,1997-07-18,2023-12-29
BBWI,10524,1982-04-02,2023-12-29
BAX,10632,1981-10-28,2023-12-29
BDX,12826,1973-02-22,2023-12-29
BSY,822,2020-09-24,2023-12-29
WRB,12656,1973-10-24,2023-12-29
BRK-B,6957,1996-05-10,2023-12-29
BERY,2826,2012-10-05,2023-12-29
BBY,9753,1985-04-19,2023-12-29
BILL,1018,2019-12-13,2023-12-29
BIO,11053,1980-02-28,2023-12-29
TECH,8789,1989-02-10,2023-12-29
BIIB,8132,1991-09-18,2023-12-29
BMRN,6148,1999-07-27,2023-12-29
BIRK,55,2023-10-12,2023-12-29
BJ,1385,2018-06-29,2023-12-29
BLK,6100,1999-10-04,2023-12-29
BX,4159,2007-06-25,2023-12-29
HRB,12826,1973-02-22,2023-12-29
SQ,2040,2015-11-20,2023-12-29
OWL,765,2020-12-15,2023-12-29
BK,12776,1973-05-04,2023-12-29
BA,15605,1962-01-03,2023-12-29
BOKF,8140,1991-09-06,2023-12-29
BKNG,6228,1999-04-01,2023-12-29
BAH,3299,2010-11-19,2023-12-29
BWA,7649,1993-08-16,2023-12-29
SAM,7074,1995-11-22,2023-12-29
BXP,6677,1997-06-19,2023-12-29
BSX,7962,1992-05-20,2023-12-29
BYD,7605,1993-10-18,2023-12-29
BFAM,2751,2013-01-28,2023-12-29
BHF,1625,2017-07-18,2023-12-29
BMY,13006,1972-06-02,2023-12-29
BRX,2558,2013-10-31,2023-12-29
AVGO,3624,2009-08-07,2023-12-29
BR,4223,2007-03-23,2023-12-29
BEPC,864,2020-07-27,2023-12-29
BRO,10811,1981-02-12,2023-12-29
BF-A,12776,1973-05-04,2023-12-29
BF-B,11040,1980-03-18,2023-12-29
BRKR,5887,2000-08-07,2023-12-29
BC,10587,1982-01-04,2023-12-29
BLDR,4658,2005-06-29,2023-12-29
BG,5637,2001-08-03,2023-12-29
BURL,2578,2013-10-03,2023-12-29
BWXT,3376,2010-08-03,2023-12-29
CHRW,6593,1997-10-17,2023-12-29
CABO,2153,2015-06-12,2023-12-29
CACI,11040,1980-03-18,2023-12-29
CDNS,9212,1987-06-11,2023-12-29
CZR,2334,2014-09-23,2023-12-29
CPT,7665,1993-07-23,2023-12-29
CPB,12826,1973-02-22,2023-12-29
COF,7330,1994-11-17,2023-12-29
CPRI,3028,2011-12-16,2023-12-29
CAH,10184,1983-08-05,2023-12-29
CSL,12826,1973-02-22,2023-12-29
CG,2933,2012-05-04,2023-12-29
KMX,6770,1997-02-05,2023-12-29
CCL,9181,1987-07-27,2023-12-29
CARR,952,2020-03-20,2023-12-29
CRI,5077,2003-10-29,2023-12-29
CASY,10130,1983-10-21,2023-12-29
CTLT,2370,2014-08-01,2023-12-29
CAT,15605,1962-01-03,2023-12-29
CAVA,135,2023-06-20,2023-12-29
CBOE,3409,2010-06-16,2023-12-29
CBRE,4922,2004-06-14,2023-12-29
CCCS,814,2020-10-06,2023-12-29
CDW,2645,2013-06-28,2023-12-29
CE,4767,2005-01-24,2023-12-29
CELH,4265,2007-01-23,2023-12-29
COR,7235,1995-04-05,2023-12-29
CNC,5548,2001-12-14,2023-12-29
CNP,15605,1962-01-03,2023-12-29
CDAY,1429,2018-04-27,2023-12-29
CERT,766,2020-12-14,2023-12-29
CF,4627,2005-08-12,2023-12-29
CHPT,1080,2019-09-17,2023-12-29
CRL,5916,2000-06-26,2023-12-29
SCHW,9140,1987-09-23,2023-12-29
CHTR,3520,2010-01-06,2023-12-29
CHE,12776,1973-05-04,2023-12-29
CC,2147,2015-06-22,2023-12-29
LNG,7488,1994-04-05,2023-12-29
CHK,726,2021-02-11,2023-12-29
CVX,15605,1962-01-03,2023-12-29
CMG,4512,2006-01-27,2023-12-29
CHH,6846,1996-10-17,2023-12-29
CB,7747,1993-03-26,2023-12-29
CHD,11040,1980-03-18,2023-12-29
CHDN,7745,1993-03-30,2023-12-29
CIEN,6767,1997-02-10,2023-12-29
CI,10525,1982-04-01,2023-12-29
CINF,11040,1980-03-18,2023-12-29
CTAS,10173,1983-08-22,2023-12-29
CRUS,8706,1989-06-12,2023-12-29
CSCO,8531,1990-02-20,2023-12-29
C,11849,1977-01-04,2023-12-29
CFG,2332,2014-09-25,2023-12-29
CLVT,1300,2018-10-30,2023-12-29
CLH,9095,1987-11-25,2023-12-29
CWEN-A,2632,2013-07-18,2023-12-29
CWEN,2171,2015-05-18,2023-12-29
CLF,12826,1973-02-22,2023-12-29
CLX,12826,1973-02-22,2023-12-29
NET,1081,2019-09-16,2023-12-29
CME,5301,2002-12-09,2023-12-29
CMS,12826,1973-02-22,2023-12-29
CNA,12826,1973-02-22,2023-12-29
CNHI,2580,2013-10-01,2023-12-29
KO,15605,1962-01-03,2023-12-29
CGNX,8678,1989-07-21,2023-12-29
CTSH,6424,1998-06-22,2023-12-29
COHR,9132,1987-10-05,2023-12-29
COIN,683,2021-04-15,2023-12-29
CL,12777,1973-05-03,2023-12-29
COLB,7943,1992-06-17,2023-12-29
COLM,6482,1998-03-30,2023-12-29
CMCSA,11040,1980-03-18,2023-12-29
CMA,11040,1980-03-18,2023-12-29
CBSH,11040,1980-03-18,2023-12-29
ED,15605,1962-01-03,2023-12-29
CAG,11040,1980-03-18,2023-12-29
CNXC,778,2020-11-25,2023-12-29
CFLT,633,2021-06-25,2023-12-29
COP,10587,1982-01-04,2023-12-29
STZ,8006,1992-03-18,2023-12-29
CEG,489,2022-01-20,2023-12-29
COO,10319,1983-01-24,2023-12-29
CPRT,7499,1994-03-18,2023-12-29
CNM,614,2021-07-23,2023-12-29
GLW,10587,1982-01-04,2023-12-29
CTVA,1158,2019-05-28,2023-12-29
CSGP,6416,1998-07-02,2023-12-29
COST,9445,1986-07-10,2023-12-29
CTRA,8537,1990-02-09,2023-12-29
COTY,2655,2013-06-14,2023-12-29
CPNG,706,2021-03-12,2023-12-29
CUZ,11040,1980-03-18,2023-12-29
CR,190,2023-03-30,2023-12-29
CXT,11040,1980-03-18,2023-12-29
